base_rank,base_cfg_id,indicator,lambda_de_lever,cagr,sharpe,max_drawdown,calmar,sortino,volatility,n_switches,mean_position,delta_cagr,delta_mdd,effectiveness
5,EMA_N100_th5_bL2_sL0,ebp,0.0,0.18554558495177997,0.8228512311521098,0.4762523148182948,0.3895951351387582,1.1559614097382118,0.24296736284606194,32,1.0,0.0,0.0,0.0
5,EMA_N100_th5_bL2_sL0,ebp,0.3,0.18255881915667804,0.840398918937147,0.45937997387040985,0.3974026503997702,1.1789227581568482,0.2316900953779336,32,0.9674338850465146,-0.002986765795101931,0.016872340947884923,5.649033806250989
5,EMA_N100_th5_bL2_sL0,ebp,0.5,0.18021535151541856,0.8492103038828539,0.4478967324761043,0.40235915658311533,1.190348789252747,0.2251929580936552,32,0.945723141744191,-0.005330233436361409,0.02835558234219049,5.319763699044846
5,EMA_N100_th5_bL2_sL0,ebp,0.7,0.17759261653814296,0.8550157790987765,0.4362231186014231,0.40711417842209613,1.19777682284059,0.219598584793173,32,0.9240123984418673,-0.007952968413637018,0.040029196216871676,5.033239682963319
5,EMA_N100_th5_bL2_sL0,term_spread,0.0,0.18554558495177997,0.8228512311521098,0.4762523148182948,0.3895951351387582,1.1559614097382118,0.24296736284606194,32,1.0,0.0,0.0,0.0
5,EMA_N100_th5_bL2_sL0,term_spread,0.3,0.16572563329423362,0.8054737953123702,0.4312789225945156,0.3842655520869201,1.1317415079963087,0.22083547548512805,32,0.9012889713569683,-0.019819951657546353,0.04497339222377916,2.269096968592038
5,EMA_N100_th5_bL2_sL0,term_spread,0.5,0.15199596724124764,0.7858279410873156,0.3996707068473932,0.38030299603439405,1.1042234876488535,0.2076510348734508,32,0.8354816189282807,-0.03354961771053233,0.07658160797090158,2.282637275680792
5,EMA_N100_th5_bL2_sL0,term_spread,0.7,0.1378765676938003,0.7574591331643604,0.3791229044855552,0.3636724820962472,1.0643890071802988,0.19602216848268314,32,0.7696742664995928,-0.04766901725797967,0.09712941033273959,2.037579457681821
5,EMA_N100_th5_bL2_sL0,cape,0.0,0.18554558495177997,0.8228512311521098,0.4762523148182948,0.3895951351387582,1.1559614097382118,0.24296736284606194,32,1.0,0.0,0.0,0.0
5,EMA_N100_th5_bL2_sL0,cape,0.3,0.17065835073245816,0.8364460596598406,0.4265416294852018,0.40009776053612345,1.17489818092217,0.21660349195904882,32,0.9064267912140413,-0.01488723421932181,0.049710685333092974,3.33914846779092
5,EMA_N100_th5_bL2_sL0,cape,0.5,0.15970660454857288,0.8354488873279743,0.3914485793439473,0.407988719275045,1.1736792844055044,0.20190092103726046,32,0.8440446520234021,-0.02583898040320709,0.0848037354743475,3.282007809558221
5,EMA_N100_th5_bL2_sL0,cape,0.7,0.14796559885773353,0.8214206595967942,0.3791229044855552,0.39028398734841174,1.1544959623995987,0.19013237673021136,32,0.781662512832763,-0.03757998609404645,0.09712941033273959,2.5846047438566555
