rank,cfg_id,filter,lookback,threshold_pct,buy_leverage,sell_leverage,buy_ticker,pure_cagr,pure_sharpe,pure_max_drawdown,pure_calmar,pure_sortino,pure_volatility,pure_n_switches,tax15_cagr,tax15_sharpe,tax15_max_drawdown,tax15_calmar,tax15_sortino,tax15_volatility,tax15_n_switches,tax_drag_cagr,composite_pure,g1_pbo,g2_dsr,g3_walk_forward,g4_oos_sharpe,g5_fwd_stress,g6_bootstrap_ci,g7_cross_lib,gates_passed
59,EMA_N150_th5_bL3_sL-1,EMA,150,0.05,3.0,-1.0,UPRO,0.13687422637155344,0.5309415623217164,0.6380328052961936,0.21452537429954313,0.7199262691731863,0.37881377513601,15,0.11436661062239728,0.4776313514426618,0.6616454437183331,0.17285180712448753,0.6396283556618619,0.3847175136203165,15,0.022507615749156162,0.8385416666666669,True,False,False,True,True,False,False,3
60,SMA_N50_th2_bL2_sL0,SMA,50,0.02,2.0,0.0,SSO,0.0906477838504276,0.5055402946491641,0.43578178461436445,0.20801186981838712,0.6875726887957986,0.21971843400891827,76,0.06632001458820347,0.39913939234253215,0.46387797488590327,0.14296866455993243,0.5330422172063842,0.22477398934084825,76,0.02432776926222413,0.8385416666666667,True,False,False,True,True,False,True,4
61,EMA_N200_th0_bL3_sL0,EMA,200,0.0,3.0,0.0,UPRO,0.14366968009665682,0.5554791070628037,0.6546341269746038,0.21946561319775254,0.7522396876575287,0.35932007448257847,124,0.10601744883397246,0.4610674646448033,0.6888848224515846,0.1538972051331897,0.6143931785003438,0.3667398439538163,124,0.037652231262684355,0.8385416666666667,True,False,False,True,True,False,False,3
62,SMA_N50_th0_bL3_sL0,SMA,50,0.0,3.0,0.0,UPRO,0.11865986383343441,0.5141214880164583,0.5797575178105413,0.2046715397181123,0.7002352789987807,0.3167931289122205,284,0.06989433416749558,0.37272840570021504,0.5898831194136164,0.11848844604499831,0.4964638384600458,0.32575887128703135,284,0.048765529665938834,0.8359375,True,False,False,True,True,False,True,4
63,EMA_N200_th0_bL1_sL0,EMA,200,0.0,1.0,0.0,SPY,0.06675113799705579,0.5948749559101095,0.304012837315216,0.21956683996157966,0.8062071300972597,0.12095514016512497,124,0.04954036627200531,0.44818429224533923,0.33947643059883986,0.14593168127936187,0.5900906941471461,0.1255779929641679,124,0.017210771725050478,0.8343750000000001,True,False,False,True,True,False,True,4
64,EMA_N200_th2_bL2_sL0,EMA,200,0.02,2.0,0.0,SSO,0.0931759625597699,0.49112373745120924,0.488460324499658,0.19075441317616196,0.660308675253528,0.24103593528365289,42,0.07064153600720502,0.4011450612299035,0.5259590339940187,0.13430995845963237,0.5285589654151803,0.24750584122462171,42,0.02253442655256488,0.8291666666666667,True,False,False,True,True,False,True,4
65,SMA_N50_th2_bL3_sL0,SMA,50,0.02,3.0,0.0,UPRO,0.11766546109240372,0.5041783193199145,0.5899117688781059,0.19946281342408181,0.6869973130953101,0.3294866546391988,76,0.0842272218197897,0.4111100382929325,0.6174274453428127,0.13641638779601778,0.5515644717788789,0.3358280263722286,76,0.03343823927261402,0.8250000000000001,True,False,False,True,True,False,False,3
66,EMA_N200_th2_bL1_sL0,EMA,200,0.02,1.0,0.0,SPY,0.06325094825563471,0.5667225634058938,0.2788488077136399,0.22682882804573234,0.7650105517263491,0.12122541142837989,42,0.04874765712634854,0.44089678295799534,0.3123228655586951,0.1560809742160468,0.57757736971373,0.12611775863228522,42,0.014503291129286167,0.8244791666666668,True,False,False,True,True,False,True,4
67,SMA_N50_th2_bL1_sL0,SMA,50,0.02,1.0,0.0,SPY,0.057612084539402586,0.5609588247206677,0.23770610992115632,0.24236686452237885,0.7652977499137528,0.1108248914473955,76,0.04348432608908781,0.43019951552629176,0.2575528843569635,0.16883649428992356,0.573132222176027,0.11415191042578474,76,0.014127758450314776,0.821875,True,False,False,True,True,False,True,4
68,EMA_N50_th5_bL2_sL0,EMA,50,0.05,2.0,0.0,SSO,0.08515913692177746,0.4861739571786582,0.4438843485413082,0.1918498302578751,0.6611671837425264,0.21678225586459604,19,0.07112810130309488,0.4224703461938317,0.48678904329834,0.146116890431945,0.5654053108852957,0.2211077307347601,19,0.014031035618682575,0.8192708333333333,True,False,False,True,True,False,True,4
