rank,cfg_id,filter,lookback,threshold_pct,buy_leverage,sell_leverage,pure_cagr,pure_sharpe,pure_max_drawdown,pure_calmar,pure_sortino,pure_volatility,pure_n_switches,tax15_cagr,tax15_sharpe,tax15_max_drawdown,tax15_calmar,tax15_sortino,tax15_volatility,tax15_n_switches,tax_drag_cagr,composite_pure,g1_pbo,g2_dsr,g3_walk_forward,g4_oos_sharpe,g5_fwd_stress,g6_bootstrap_ci,g7_cross_lib,gates_passed
31,EMA_N100_th5_bL2_sL-1,EMA,100,0.05,2.0,-1.0,0.15128287731603152,0.6441067489872703,0.5586699791716201,0.2707911342226576,0.9083505985253725,0.2797248686135207,32,0.12747036385373178,0.5641191615330646,0.5899791371651794,0.21605910416802293,0.7801845837111134,0.2856208011576865,32,0.023812513462299734,0.8848958333333333,True,False,False,True,True,True,True,5
32,SMA_N150_th5_bL1_sL0,SMA,150,0.05,1.0,0.0,0.08983203210255497,0.7573140142931832,0.24483401789235273,0.36690992892193525,1.0567363738135447,0.12373917135269408,31,0.0781124681572698,0.6523047356290846,0.2787433867170083,0.2802307494260761,0.8839164176116734,0.12794445134051463,31,0.011719563945285172,0.8828125000000001,True,True,False,True,True,True,True,6
33,SMA_N150_th5_bL2_sL-1,SMA,150,0.05,2.0,-1.0,0.14327526732174234,0.6160873236483796,0.5512113769870499,0.25992799369434716,0.8644849671242739,0.2824055105762534,31,0.12259401949261295,0.5473748333184207,0.5686434719215707,0.21559030490289624,0.7558877014188429,0.28734298783566176,31,0.02068124782912939,0.8734375000000001,True,False,False,True,True,True,True,5
34,EMA_N150_th2_bL2_sL0,EMA,150,0.02,2.0,0.0,0.14178884010347614,0.6685225424002796,0.6146042844437389,0.23069940072384174,0.9256446913063101,0.24273789758843498,94,0.11662467253045938,0.5680472782897336,0.6303204379527003,0.1850244185469534,0.7670193169726089,0.24996393845623394,94,0.02516416757301676,0.8729166666666668,True,False,False,True,True,True,True,5
35,EMA_N150_th5_bL3_sL-2,EMA,150,0.05,3.0,-2.0,0.19329872552638183,0.6158152365808556,0.7378724417984267,0.2619676716144218,0.8651831238784461,0.46133838809037414,25,0.16778719743908432,0.5689327458079075,0.7569034349022772,0.2216758303663229,0.7904739745558376,0.4668507899043549,25,0.025511528087297508,0.8729166666666668,True,False,False,True,True,True,True,5
36,SMA_N200_th2_bL1_sL0,SMA,200,0.02,1.0,0.0,0.08573977508761677,0.7392787089169955,0.23581127149415682,0.36359489749726115,1.0303333380011788,0.1212547575947952,56,0.07219523023135355,0.6205010448350895,0.2442015074306304,0.29563793848349534,0.8420121911123662,0.12501486529473338,56,0.013544544856263219,0.8687500000000001,True,True,False,True,True,True,True,6
37,SMA_N200_th0_bL3_sL-1,SMA,200,0.0,3.0,-1.0,0.17314310642998398,0.6087832094398407,0.727593731822037,0.2379667372840057,0.8510788158667744,0.3852422947524358,236,0.1332406833901023,0.5173540002529232,0.7987053405507932,0.16682082443347446,0.7095912135452275,0.39348751562184586,236,0.039902423039881674,0.8635416666666668,True,False,False,True,True,True,True,5
38,SMA_N100_th5_bL3_sL-1,SMA,100,0.05,3.0,-1.0,0.17761434380887176,0.6160091861172821,0.7651718007012532,0.23212348344005151,0.8601395322021617,0.3900432576641995,43,0.14737855323861937,0.547902154759753,0.7937067254501102,0.18568389118164666,0.7529877353082937,0.39695482835774787,43,0.030235790570252385,0.8635416666666667,True,False,False,True,True,True,True,5
39,SMA_N150_th0_bL3_sL0,SMA,150,0.0,3.0,0.0,0.17794540011035642,0.6411100948424469,0.8007855284896581,0.22221355628887907,0.8888356107707619,0.3545708235005045,352,0.13622600755169545,0.5363886965419375,0.8124651185849996,0.16766997676029285,0.7297656986218233,0.36236068317028475,352,0.04171939255866097,0.8578125000000001,True,False,False,True,True,True,True,5
40,EMA_N150_th0_bL3_sL0,EMA,150,0.0,3.0,0.0,0.17413351591641257,0.6290674545377198,0.7896490041068289,0.22052014883926155,0.8691086428121318,0.3585226522718446,368,0.13100158793769912,0.5219562172276092,0.8193019532678013,0.15989414820164508,0.7070412833326282,0.36690206719360363,368,0.04313192797871346,0.8567708333333335,True,False,False,True,True,True,True,5
41,SMA_N200_th5_bL1_sL0,SMA,200,0.05,1.0,0.0,0.0861209897147841,0.7088034460281109,0.37112178199841245,0.23205587462703148,0.960008458335757,0.12833426501306436,25,0.07549639795236396,0.6151118419965326,0.37112178199841245,0.20342755832285508,0.8104792777497193,0.13297984444499625,25,0.010624591762420144,0.8552083333333335,True,False,False,True,True,True,True,5
42,EMA_N50_th5_bL3_sL0,EMA,50,0.05,3.0,0.0,0.16379358454629012,0.6146825664843751,0.7546380241508984,0.21704920677776202,0.8565380402330263,0.3440138142210031,44,0.13927793140019173,0.5500836691690539,0.7629186541886954,0.18255934710143243,0.7549073466826569,0.3499137050035445,44,0.024515653146098382,0.8531250000000001,True,False,False,True,True,True,True,5
43,SMA_N50_th5_bL3_sL0,SMA,50,0.05,3.0,0.0,0.17061540505010053,0.6163347362481781,0.7821306895904697,0.2181418109797433,0.8506402918465392,0.364990638905455,64,0.14017591330539214,0.541832612603221,0.7990842176205832,0.17542070061500037,0.7363884771619108,0.37158427450916975,64,0.03043949174470839,0.853125,True,False,False,True,True,True,True,5
44,SMA_N200_th5_bL3_sL-1,SMA,200,0.05,3.0,-1.0,0.19454972720272656,0.6518590293619749,0.8600148933745574,0.22621669543343062,0.8864119362060442,0.40650901279420243,25,0.17085477342289135,0.6011300595301603,0.8600148933745574,0.19866490073501547,0.8079930196349826,0.412346990501809,25,0.023694953779835215,0.8515625,True,False,False,True,True,True,True,5
45,SMA_N200_th2_bL2_sL-1,SMA,200,0.02,2.0,-1.0,0.13290847835289465,0.5875721993614831,0.5633858506198632,0.23591021713921745,0.8235825162895158,0.2789192532339654,56,0.10788889285366121,0.5041455782403773,0.5999425970111628,0.17983202624909425,0.6959361854246794,0.28360846105286963,56,0.025019585499233443,0.8515625,True,False,False,True,True,True,True,5
46,EMA_N100_th5_bL3_sL-2,EMA,100,0.05,3.0,-2.0,0.17511021339650523,0.5828401243827095,0.746399742644898,0.23460647611693305,0.8240743833438866,0.45777347570689136,32,0.14515809227091614,0.5265226374644764,0.7690051897150796,0.18876087471490013,0.7354048728313269,0.46365126480836255,32,0.029952121125589093,0.8510416666666667,True,False,False,True,True,True,True,5
47,EMA_N200_th5_bL1_sL0,EMA,200,0.05,1.0,0.0,0.08552574295219006,0.7000166322793191,0.3742609025334173,0.22851904212611032,0.9464874430734395,0.12935209756511937,25,0.07518406932781074,0.6091276045944392,0.3742609025334173,0.20088678464376236,0.801298818075969,0.1340515809920473,25,0.010341673624379322,0.8505208333333334,True,False,False,True,True,True,True,5
48,EMA_N200_th2_bL3_sL-1,EMA,200,0.02,3.0,-1.0,0.1629535262153463,0.5823367670719318,0.7093671419251913,0.22971676665639965,0.8120004117912779,0.3930490220932683,78,0.13031461556459845,0.508907386360319,0.7440179677216052,0.1751498232813636,0.699603510315089,0.399303990705027,78,0.032638910650747865,0.8484375000000001,True,False,False,True,True,True,True,5
49,SMA_N100_th5_bL1_sL0,SMA,100,0.05,1.0,0.0,0.07998817601180486,0.6936616821067318,0.3239478221056149,0.24691685065790242,0.9636932877041597,0.12163660482969704,43,0.06751260347612553,0.5811369161228241,0.333280667133993,0.20256981617533365,0.7820232238855148,0.12624707336110425,43,0.012475572535679325,0.8479166666666667,True,False,False,True,True,True,True,5
50,EMA_N200_th5_bL3_sL-1,EMA,200,0.05,3.0,-1.0,0.191530599795396,0.6442863346550711,0.8627109547474535,0.22201016312753774,0.8744856069807332,0.4090763449856939,25,0.16904284188395802,0.5964220374372062,0.8627109547474535,0.19594377578460556,0.8001981850319047,0.41497707977450815,25,0.022487757911437978,0.8447916666666668,True,False,False,True,True,True,True,5
