base_rank,base_cfg_id,combo,stop_loss_pct,reentry_mode,reentry_param,risk_indicator,risk_lambda,cagr,sharpe,max_drawdown,calmar,sortino,volatility,n_switches,n_stops,mean_position,delta_cagr,delta_mdd,effectiveness
11,SMA_N200_th0_bL3_sL0,sl30_rec10_composite05,0.3,recovery_trigger,0.1,composite,0.5,0.24812430282354003,0.7749065714520108,0.5611003155550133,0.4422102357545593,1.06433784753031,0.38047412909721035,74,9,0.8491005716036693,-0.04771622136664977,0.008498825097628449,0.17811186330794668
11,SMA_N200_th0_bL3_sL0,sl30_rec10_cape05,0.3,recovery_trigger,0.1,cape,0.5,0.20577142263081827,0.6813403415016855,0.5611003155550133,0.3667284029724331,0.9284529637208089,0.3845404350960421,78,12,0.8601533260104036,-0.09006910155937153,0.008498825097628449,0.09435894164022735
12,SMA_N150_th0_bL1_sL0,sl20_cool21_composite05,0.2,time_cooldown,21.0,composite,0.5,0.12054175227710973,0.9389227155257085,0.2128661398321936,0.5662795988696703,1.3089353877001322,0.130274773348478,96,1,0.8949643804229205,-0.01794098710887093,0.010567349940887094,0.5890060494866562
12,SMA_N150_th0_bL1_sL0,sl20_cool21_cape05,0.2,time_cooldown,21.0,cape,0.5,0.12289968722503875,0.9159586887524317,0.2276580040412584,0.5398434715379726,1.2710323302223712,0.13679800799356137,96,2,0.9252685062901791,-0.015583052160941913,-0.004224514268177715,-0.2710967161340982
12,SMA_N150_th0_bL1_sL0,sl30_rec10_composite05,0.3,recovery_trigger,0.1,composite,0.5,0.12179445661696664,0.9450640708396986,0.21279743829268963,0.5723492613169805,1.319910510371877,0.1306637768154932,98,0,0.9004740222961988,-0.016688282769014018,0.010636051480391068,0.6373364849821196
12,SMA_N150_th0_bL1_sL0,sl30_rec10_cape05,0.3,recovery_trigger,0.1,cape,0.5,0.12415502760709285,0.9219981389409567,0.22765800404125835,0.5453576215338877,1.2815505874952773,0.1371684123383215,98,0,0.9307781481634573,-0.014327711778887808,-0.004224514268177659,-0.29484919388192693
13,EMA_N100_th0_bL3_sL0,sl20_cool21_composite05,0.2,time_cooldown,21.0,composite,0.5,0.21046892442957366,0.7195822799131446,0.5138680085609413,0.4095777922018928,0.9944368288983972,0.352652427833581,141,24,0.8138915260127505,-0.05498171005906949,-0.039806534726643306,-0.723995937628663
13,EMA_N100_th0_bL3_sL0,sl20_cool21_cape05,0.2,time_cooldown,21.0,cape,0.5,0.23729013136076027,0.7700618408529104,0.5138680085609413,0.4617725318711279,1.066368218289219,0.3628543633609536,145,24,0.8430772722944255,-0.028160503127882874,-0.039806534726643306,-1.4135590740645971
13,EMA_N100_th0_bL3_sL0,sl30_rec10_composite05,0.3,recovery_trigger,0.1,composite,0.5,0.19235390723935586,0.6650299187532257,0.563320180939413,0.3414646123960614,0.9150408980579715,0.36645787430948235,161,10,0.8425234080176517,-0.07309672724928729,-0.08925870710511508,-1.2211040146942471
13,EMA_N100_th0_bL3_sL0,sl30_rec10_cape05,0.3,recovery_trigger,0.1,cape,0.5,0.19240974203780636,0.6574441046485333,0.563320180939413,0.34156372973703325,0.901570617693583,0.3769780688750006,159,11,0.8622933547020675,-0.07304089245083678,-0.08925870710511508,-1.2220374657277684
