rank,cfg_id,filter,lookback,threshold_pct,buy_leverage,sell_leverage,buy_ticker,pure_cagr,pure_sharpe,pure_max_drawdown,pure_calmar,pure_sortino,pure_volatility,pure_n_switches,tax15_cagr,tax15_sharpe,tax15_max_drawdown,tax15_calmar,tax15_sortino,tax15_volatility,tax15_n_switches,tax_drag_cagr,composite_pure,g1_pbo,g2_dsr,g3_walk_forward,g4_oos_sharpe,g5_fwd_stress,g6_bootstrap_ci,g7_cross_lib,gates_passed
47,EMA_N150_th0_bL3_sL-1,EMA,150,0.0,3.0,-1.0,TQQQ,0.24771858091086507,0.7096267174856308,0.651166983951116,0.38042251375794817,0.9824646415277901,0.46795236516313415,114,0.18911786875119718,0.6053650384408346,0.6856363536508262,0.2758282400636959,0.8244787320865127,0.4769475907579492,114,0.05860071215966789,0.8598958333333333,True,False,False,True,True,False,False,3
48,SMA_N150_th5_bL1_sL0,SMA,150,0.05,1.0,0.0,QQQ,0.11478038878170205,0.7945020552075579,0.2900315158679856,0.3957514356265577,1.086922329366541,0.1512219411832834,21,0.09743666497787795,0.6732752021164881,0.29003151586798537,0.33595199020450084,0.8963264697281043,0.15642384083572158,21,0.017343723803824096,0.8578125000000001,True,False,False,True,True,True,True,5
49,EMA_N150_th5_bL3_sL-1,EMA,150,0.05,3.0,-1.0,TQQQ,0.24888660833869314,0.7091480902995537,0.6581438206185531,0.378164468831111,0.9773998076978696,0.4736423895024023,16,0.21318077101643906,0.6465866050191287,0.6968501463921457,0.3059205370339029,0.8783576009119424,0.4817169009421632,16,0.035705837322254075,0.8572916666666668,True,False,False,True,True,False,False,3
50,SMA_N100_th5_bL1_sL0,SMA,100,0.05,1.0,0.0,QQQ,0.11045559860032661,0.7819152673018324,0.24632564159299633,0.448412913434454,1.0773394892154813,0.14805856222578498,25,0.09210852732548958,0.6511831773226883,0.29072537846188595,0.3168231401496481,0.8706228278526426,0.1535496828423598,25,0.018347071274837035,0.8572916666666668,True,False,False,True,True,True,True,5
51,EMA_N200_th0_bL1_sL0,EMA,200,0.0,1.0,0.0,QQQ,0.11488625767842064,0.7790009625609194,0.2644707120357668,0.4344006820040002,1.0708764080176594,0.15510159082300767,98,0.09247693305066651,0.6303668254308156,0.31421986248597206,0.29430645255531873,0.8404355624036228,0.16103494584565833,98,0.022409324627754135,0.8567708333333335,True,False,False,True,True,False,True,4
52,EMA_N200_th10_bL1_sL0,EMA,200,0.1,1.0,0.0,QQQ,0.12038060777495452,0.7597507429949634,0.29444852876076205,0.4088341289446997,1.0406675442245872,0.16835644842589223,8,0.10742248163256551,0.6781333678614738,0.3655410215528664,0.2938725759867406,0.9098712604945354,0.17263214703199561,8,0.012958126142389004,0.8531250000000001,True,False,False,True,True,True,True,5
53,SMA_N50_th0_bL3_sL0,SMA,50,0.0,3.0,0.0,TQQQ,0.1948728952258285,0.6501722546127473,0.548227017987817,0.35546021781465553,0.8975145539654872,0.39537417193063146,254,0.12828149766382602,0.5034006289581658,0.6109981291057865,0.2099539942152846,0.6807509900125146,0.40514449894454757,254,0.0665913975620025,0.8520833333333333,True,False,False,True,True,False,True,4
54,EMA_N100_th2_bL1_sL0,EMA,100,0.02,1.0,0.0,QQQ,0.1085243294625029,0.7732264879142492,0.2538938346491545,0.4274397982624046,1.05916962565555,0.14733805966755462,55,0.08727288716903692,0.6271422706881218,0.2667674342193603,0.32714970410246275,0.8379821603329441,0.15193271088388305,55,0.021251442293465983,0.8520833333333333,True,False,False,True,True,True,True,5
55,SMA_N200_th5_bL1_sL0,SMA,200,0.05,1.0,0.0,QQQ,0.11405295263631121,0.7753935511873719,0.27853717101464,0.40947121068561637,1.0556720089073206,0.154829364209696,16,0.0978638488633663,0.6634470806091382,0.2785371710146397,0.351349331605808,0.8789336739586259,0.16027420229837783,16,0.016189103772944913,0.85078125,True,False,False,True,True,False,True,4
56,SMA_N200_th5_bL3_sL0,SMA,200,0.05,3.0,0.0,TQQQ,0.2412098136702281,0.704379584277228,0.660332936933704,0.3652851465963526,0.9557357375706306,0.45979923221778385,16,0.20981163482116028,0.6471434410077521,0.6603329369337042,0.31773613443459786,0.8674177205311282,0.4668407863375709,16,0.031398178849067815,0.8502604166666667,True,False,False,True,True,False,False,3
