leg,entry_date,exit_date,hold_days,weight,entry_price,exit_price,gross_ret_pct,leveraged_ret_pct,split
GLD,2012-07-11,2012-07-13,2,0.5,152.99,154.14,0.7517,0.7517,IS
QQQ,2012-07-13,2012-07-24,11,1.0,63.38,62.96,-0.6627,-1.3253,IS
SPY,2012-07-13,2012-07-24,11,1.0,135.75,133.93,-1.3407,-2.6814,IS
GLD,2012-07-24,2012-07-26,2,1.0,153.52,156.77,2.117,2.117,IS
QQQ,2012-07-26,2012-10-19,85,1.0,63.37,65.68,3.6453,7.2905,IS
SPY,2012-07-26,2012-11-07,104,1.0,136.17,139.72,2.607,5.2141,IS
GLD,2012-10-19,2012-11-29,41,0.5,166.97,167.1817,0.1268,0.1268,IS
SPY,2012-11-23,2012-11-27,4,1.0,141.35,140.33,-0.7216,-1.4432,IS
SPY,2012-11-28,2012-12-28,30,1.0,141.46,140.03,-1.0109,-2.0218,IS
QQQ,2012-11-29,2012-12-03,4,1.0,65.91,65.67,-0.3641,-0.7283,IS
GLD,2012-12-03,2012-12-11,8,0.5,166.1267,165.65,-0.2869,-0.2869,IS
QQQ,2012-12-11,2012-12-13,2,1.0,65.97,65.3111,-0.9988,-1.9976,IS
GLD,2012-12-13,2012-12-18,5,0.5,164.37,162.08,-1.3932,-1.3932,IS
QQQ,2012-12-18,2012-12-21,3,1.0,66.5472,65.2,-2.0244,-4.0489,IS
GLD,2012-12-21,2013-01-02,12,0.5,160.33,163.17,1.7713,1.7713,IS
SPY,2012-12-31,2013-06-24,175,1.0,142.41,157.06,10.2872,20.5744,IS
QQQ,2013-01-02,2013-02-25,54,1.0,67.2,66.31,-1.3244,-2.6488,IS
GLD,2013-02-25,2013-02-26,1,0.5,154.34,156.22,1.2181,1.2181,IS
QQQ,2013-02-26,2013-04-18,51,1.0,66.56,67.169,0.915,1.8299,IS
GLD,2013-04-18,2013-04-19,1,0.5,134.3,135.47,0.8712,0.8712,IS
QQQ,2013-04-19,2013-06-21,63,1.0,68.09,70.43,3.4366,6.8733,IS
GLD,2013-06-21,2013-06-26,5,0.5,125.05,118.28,-5.4138,-5.4138,IS
SPY,2013-06-25,2013-10-08,105,1.0,158.57,165.48,4.3577,8.7154,IS
QQQ,2013-06-26,2014-04-04,282,1.0,70.87,86.37,21.871,43.7421,IS
GLD,2013-10-08,2013-10-09,1,0.5,127.4,126.11,-1.0126,-1.0126,IS
SPY,2013-10-09,2014-02-03,117,1.0,165.6,174.17,5.1751,10.3502,IS
GLD,2014-02-03,2014-02-06,3,0.5,121.32,121.24,-0.0659,-0.0659,IS
SPY,2014-02-06,2014-04-11,64,1.0,177.48,181.51,2.2707,4.5414,IS
GLD,2014-04-04,2014-04-09,5,0.5,125.57,126.32,0.5973,0.5973,IS
QQQ,2014-04-09,2014-04-10,1,1.0,87.82,85.1,-3.0972,-6.1945,IS
GLD,2014-04-10,2014-04-21,11,0.5,127.01,124.24,-2.1809,-2.1809,IS
SPY,2014-04-14,2014-08-07,115,1.0,182.94,191.03,4.4222,8.8444,IS
QQQ,2014-04-21,2014-04-25,4,1.0,86.84,86.19,-0.7485,-1.497,IS
GLD,2014-04-25,2014-04-29,4,0.5,125.43,124.86,-0.4544,-0.4544,IS
QQQ,2014-04-29,2014-05-07,8,1.0,87.16,86.56,-0.6884,-1.3768,IS
GLD,2014-05-07,2014-05-09,2,0.5,124.17,124.1,-0.0564,-0.0564,IS
QQQ,2014-05-09,2014-10-10,154,1.0,86.8,94.44,8.8018,17.6037,IS
GLD,2014-08-07,2014-08-08,1,0.5,126.18,126.19,0.0079,0.0079,IS
SPY,2014-08-08,2014-10-01,54,1.0,193.24,194.35,0.5744,1.1488,IS
GLD,2014-10-01,2014-10-03,2,0.5,116.77,114.61,-1.8498,-1.8498,IS
SPY,2014-10-03,2014-10-07,4,1.0,196.52,193.26,-1.6589,-3.3177,IS
GLD,2014-10-07,2014-10-08,1,0.5,116.36,117.4701,0.954,0.954,IS
SPY,2014-10-08,2014-10-09,1,1.0,196.64,192.74,-1.9833,-3.9666,IS
GLD,2014-10-09,2014-10-23,14,0.5,117.64,118.52,0.748,0.748,IS
QQQ,2014-10-21,2015-01-06,77,1.0,96.87,100.07,3.3034,6.6068,IS
SPY,2014-10-23,2014-12-16,54,1.0,194.93,197.91,1.5288,3.0575,IS
GLD,2014-12-16,2014-12-17,1,0.5,114.95,114.27,-0.5916,-0.5916,IS
SPY,2014-12-17,2015-01-06,20,1.0,201.79,199.82,-0.9763,-1.9525,IS
GLD,2015-01-06,2015-01-07,1,1.0,117.12,116.43,-0.5891,-0.5891,IS
QQQ,2015-01-07,2015-01-15,8,1.0,101.36,99.65,-1.6871,-3.3741,IS
SPY,2015-01-07,2015-01-14,7,1.0,202.31,200.86,-0.7167,-1.4334,IS
GLD,2015-01-14,2015-01-16,2,0.5,117.97,122.52,3.8569,3.8569,IS
QQQ,2015-01-16,2015-06-29,164,1.0,100.82,106.69,5.8223,11.6445,IS
SPY,2015-01-16,2015-01-28,12,1.0,201.63,200.14,-0.739,-1.478,IS
GLD,2015-01-28,2015-01-29,1,0.5,123.42,120.76,-2.1552,-2.1552,IS
SPY,2015-01-29,2015-01-30,1,1.0,201.99,199.45,-1.2575,-2.515,IS
GLD,2015-01-30,2015-02-02,3,0.5,123.45,122.42,-0.8343,-0.8343,IS
SPY,2015-02-02,2015-06-08,126,1.0,201.92,208.42,3.2191,6.4382,IS
GLD,2015-06-08,2015-06-10,2,0.5,112.57,113.78,1.0749,1.0749,IS
SPY,2015-06-10,2015-06-29,19,1.0,210.96,205.47,-2.6024,-5.2048,IS
GLD,2015-06-29,2015-07-13,14,1.0,113.07,110.99,-1.8396,-1.8396,IS
QQQ,2015-07-01,2015-07-08,7,1.0,107.92,106.09,-1.6957,-3.3914,IS
QQQ,2015-07-10,2015-08-20,41,1.0,107.65,107.08,-0.5295,-1.059,IS
SPY,2015-07-13,2015-07-24,11,1.0,209.76,207.94,-0.8677,-1.7353,IS
